step,time,loss,acc
11600,2019-05-06T16:39:39.593931,2.261943e-02,9.843750e-01
11650,2019-05-06T16:39:41.423414,3.459085e-02,9.765625e-01
11700,2019-05-06T16:39:43.245960,1.206594e-02,1.000000e+00
11750,2019-05-06T16:39:45.067739,8.326028e-02,9.843750e-01
11800,2019-05-06T16:39:46.873737,1.128194e-01,9.453125e-01
11850,2019-05-06T16:39:48.676026,8.106640e-02,9.765625e-01
11900,2019-05-06T16:39:50.471368,5.156135e-02,9.765625e-01
11950,2019-05-06T16:39:52.274564,1.646642e-02,1.000000e+00
12000,2019-05-06T16:39:54.082882,2.855426e-02,9.921875e-01
12050,2019-05-06T16:39:55.939861,2.056330e-02,1.000000e+00
12100,2019-05-06T16:39:57.736985,4.732987e-02,9.843750e-01
12150,2019-05-06T16:39:59.540555,4.411750e-02,9.687500e-01
12200,2019-05-06T16:40:01.340236,2.175680e-02,9.921875e-01
12250,2019-05-06T16:40:03.138506,4.004871e-02,9.921875e-01
12300,2019-05-06T16:40:04.941066,4.296482e-02,9.765625e-01
12350,2019-05-06T16:40:06.745205,1.374387e-02,9.921875e-01
12400,2019-05-06T16:40:08.535061,1.232531e-02,1.000000e+00
12450,2019-05-06T16:40:10.335111,3.715124e-03,1.000000e+00
12500,2019-05-06T16:40:12.137081,6.170231e-02,9.843750e-01
12550,2019-05-06T16:40:13.989209,3.972666e-02,9.843750e-01
12600,2019-05-06T16:40:15.805831,1.069534e-02,1.000000e+00
12650,2019-05-06T16:40:17.609672,1.289456e-01,9.609375e-01
12700,2019-05-06T16:40:19.396248,3.831013e-02,9.843750e-01
12750,2019-05-06T16:40:21.189730,3.177166e-02,1.000000e+00
12800,2019-05-06T16:40:22.995841,6.649057e-02,9.843750e-01
12850,2019-05-06T16:40:24.800602,9.431567e-03,1.000000e+00
12900,2019-05-06T16:40:26.603900,1.136055e-02,9.921875e-01
12950,2019-05-06T16:40:28.409310,3.739900e-02,9.765625e-01
13000,2019-05-06T16:40:30.313886,4.121807e-02,9.687500e-01
13050,2019-05-06T16:40:32.172218,4.784364e-02,9.765625e-01
13100,2019-05-06T16:40:33.975201,2.242934e-02,9.921875e-01
13150,2019-05-06T16:40:35.774233,4.568141e-02,9.843750e-01
13200,2019-05-06T16:40:37.574706,4.947285e-02,9.687500e-01
13250,2019-05-06T16:40:39.382073,8.772199e-03,1.000000e+00
13300,2019-05-06T16:40:41.186298,4.123201e-02,9.765625e-01
13350,2019-05-06T16:40:42.990196,1.606016e-02,9.921875e-01
13400,2019-05-06T16:40:44.794175,3.180729e-02,9.765625e-01
13450,2019-05-06T16:40:46.604254,2.010369e-02,9.921875e-01
13500,2019-05-06T16:40:48.401488,9.215872e-03,9.921875e-01
13550,2019-05-06T16:40:50.260534,1.619365e-02,9.921875e-01
13600,2019-05-06T16:40:52.072059,4.782079e-03,1.000000e+00
13650,2019-05-06T16:40:53.872945,4.942507e-02,9.843750e-01
13700,2019-05-06T16:40:55.682295,9.313423e-03,1.000000e+00
13750,2019-05-06T16:40:57.519353,3.010170e-02,9.921875e-01
13800,2019-05-06T16:40:59.348316,6.480885e-03,1.000000e+00
13850,2019-05-06T16:41:01.184207,2.655012e-02,9.843750e-01
13900,2019-05-06T16:41:03.014900,4.974563e-02,9.921875e-01
13950,2019-05-06T16:41:04.840731,1.777407e-02,9.921875e-01
14000,2019-05-06T16:41:06.657368,1.023293e-02,1.000000e+00
14050,2019-05-06T16:41:08.513178,4.350065e-02,9.843750e-01
14100,2019-05-06T16:41:10.316959,2.264887e-02,1.000000e+00
14150,2019-05-06T16:41:12.125828,2.668821e-02,9.921875e-01
14200,2019-05-06T16:41:13.940088,8.577724e-02,9.687500e-01
14250,2019-05-06T16:41:15.743695,3.627320e-02,9.843750e-01
14300,2019-05-06T16:41:17.546893,1.550273e-02,1.000000e+00
14350,2019-05-06T16:41:19.354894,2.640875e-02,9.921875e-01
14400,2019-05-06T16:41:21.157235,1.907286e-02,9.921875e-01
14450,2019-05-06T16:41:22.970209,1.198628e-02,9.921875e-01
14500,2019-05-06T16:41:24.770950,3.108722e-02,9.843750e-01
14550,2019-05-06T16:41:26.627718,4.506671e-02,9.843750e-01
14600,2019-05-06T16:41:28.428080,6.541041e-02,9.921875e-01
14650,2019-05-06T16:41:30.231528,2.135711e-02,1.000000e+00
14700,2019-05-06T16:41:32.033623,2.378587e-02,9.921875e-01
14750,2019-05-06T16:41:33.838742,1.806546e-02,9.921875e-01
14800,2019-05-06T16:41:35.646523,6.577997e-02,9.765625e-01
14850,2019-05-06T16:41:37.445986,3.659605e-03,1.000000e+00
14900,2019-05-06T16:41:39.246526,4.470219e-02,9.765625e-01
14950,2019-05-06T16:41:41.049571,1.489198e-02,1.000000e+00
15000,2019-05-06T16:41:42.844352,2.785189e-02,9.921875e-01
15050,2019-05-06T16:41:44.700710,2.862536e-02,9.921875e-01
15100,2019-05-06T16:41:46.506622,7.475113e-02,9.609375e-01
15150,2019-05-06T16:41:48.305220,5.360351e-02,9.921875e-01
15200,2019-05-06T16:41:50.105720,1.148696e-01,9.687500e-01
15250,2019-05-06T16:41:51.909868,6.700945e-02,9.765625e-01
15300,2019-05-06T16:41:53.713375,3.414512e-02,9.921875e-01
15350,2019-05-06T16:41:55.511494,2.386733e-02,9.843750e-01
15400,2019-05-06T16:41:57.315095,5.724669e-02,9.765625e-01
15450,2019-05-06T16:41:59.110937,2.818855e-02,9.843750e-01
15500,2019-05-06T16:42:00.917296,3.676898e-02,9.843750e-01
15550,2019-05-06T16:42:02.765996,2.444326e-02,9.921875e-01
15600,2019-05-06T16:42:04.569695,2.341718e-02,9.921875e-01
15650,2019-05-06T16:42:06.365301,5.675398e-02,9.921875e-01
15700,2019-05-06T16:42:08.160569,4.590551e-02,9.843750e-01
15750,2019-05-06T16:42:09.955731,6.813572e-02,9.765625e-01
15800,2019-05-06T16:42:11.764905,3.663950e-02,9.843750e-01
15850,2019-05-06T16:42:13.564699,9.365574e-03,1.000000e+00
15900,2019-05-06T16:42:15.370441,3.221573e-02,9.843750e-01
15950,2019-05-06T16:42:17.186425,3.861208e-02,9.843750e-01
16000,2019-05-06T16:42:19.013676,1.635366e-02,9.921875e-01
16050,2019-05-06T16:42:20.974922,5.100010e-02,9.765625e-01
16100,2019-05-06T16:42:22.795526,4.205240e-02,9.843750e-01
16150,2019-05-06T16:42:24.621300,2.223687e-02,9.843750e-01
16200,2019-05-06T16:42:26.453921,3.625358e-02,9.765625e-01
16250,2019-05-06T16:42:28.256943,7.488032e-02,9.843750e-01
16300,2019-05-06T16:42:30.054956,1.736502e-02,9.921875e-01
16350,2019-05-06T16:42:31.859537,7.307518e-02,9.843750e-01
16400,2019-05-06T16:42:33.658048,6.432119e-03,1.000000e+00
